Shri Murudeshwar Temple (Rithad) | Rithad |  | maharashtra.js
Shiv Parvati Temple (Nagapur) | Nagapur |  | maharashtra.js
Shri Nageshwar Jyotirlinga (Aundha Nagnath) | Aundha Nagnath |  | maharashtra.js
Jaleshwar Mahadev Mandir (Hingoli City) | Hingoli |  | maharashtra.js
Shree Nilkantheshwar Shivling & Annapurna Devi Mandir (Aundha Nagnath) | Aundha Nagnath |  | maharashtra.js
Shri Hattkeshwar Sansthan (Hatta) | Hatta |  | maharashtra.js
Lord Rokdeshwar Temple (Pangra Shinde) | Pangra Shinde |  | maharashtra.js
Shree Adi Nagnath Temple (Aundha Nagnath) | Aundha Nagnath |  | maharashtra.js
Shri Jatashankar Temple (Dongarkada) | Dongarkada |  | maharashtra.js
Shree Kubereshwar Mahadev Mandir (Hingoli) | Hingoli |  | maharashtra.js
Shree Ratneshwar Temple (SRPF Camp) | Hingoli |  | maharashtra.js
Dhaneshar Temple (Kolasa) | Kolasa |  | maharashtra.js
Bhavani Mata Temple Shiva Shrine (Waranga Phata) | Waranga Phata |  | maharashtra.js
Shiv Dham (Fulchur Peth) | Gondia |  | maharashtra.js
Pongezara Shiv Mandir (Goregaon) | Goregaon |  | maharashtra.js
Ardh Nareshwar Shiv Temple (Salekasa) | Salekasa |  | maharashtra.js
Dhaneshwar Mahadev Temple (Sindhi Colony) | Gondia |  | maharashtra.js
Sivanibandh Shiv Murti (Zadgaon) | Zadgaon |  | maharashtra.js
Bholenath Mandir (Asoli) | Asoli |  | maharashtra.js
Asordi Mahadev Pahadi (Asordi) | Asordi |  | maharashtra.js
Kashighat Shiv Temple (Garada) | Garada |  | maharashtra.js
Bhole Baba Mandir (Halbitola) | Halbitola |  | maharashtra.js
Shri Mankeshwar Temple (Jintur Road) | Gadchiroli |  | maharashtra.js
Shiva Shankar Sri Ganesh Mandad (Tekdamotla) | Tekdamotla |  | maharashtra.js
Shankar Ghat Shiva Temple (Gadchiroli) | Gadchiroli |  | maharashtra.js
Kapileshwar Mandir Mudawad (Mudavad) | Mudavad |  | maharashtra.js
Gangeshwar Mahadev Temple (Pimpri Amarale) | Pimpri Amarale |  | maharashtra.js
Kedareshwar Mahakal Mandir (Dhule) | Dhule |  | maharashtra.js
Shiv Temple Dahiwad (Shirpur) | Shirpur |  | maharashtra.js
Ghrisneshwar Mahadev Mandir (Chopdai) | Chopdai |  | maharashtra.js
Gangeshwar Mahadev Mandir (Samode) | Samode |  | maharashtra.js
Nilkanth Mahadev Temple (Kokale) | Kokale |  | maharashtra.js
Navnath Mandir (Wadibhokar) | Wadibhokar |  | maharashtra.js
Trilokeshwar Shivdham Temple (Datarti) | Datarti |  | maharashtra.js
Shri Raj Rajeshwar Mandir (Akola Fort) | Akola |  | maharashtra.js
Om Shri Baara Jyotirlinga Shiv Mandir (Ranpise Nagar) | Akola |  | maharashtra.js
Salasar Balaji Temple Shiva Parivar (Dahigaon Gawande) | Dahigaon Gawande |  | maharashtra.js
Shree Narmadeshwar Shiv Mandir (Chhoti Umari) | Chhoti Umari |  | maharashtra.js
Wnageshwar Mahadev Mandir (Telhara) | Telhara |  | maharashtra.js
Mahakali Mandir Shiva Shrine (Mothi Umri) | Mothi Umri |  | maharashtra.js
Jageshwar Devsthan Mandir (Shivaji Nagar) | Akola |  | maharashtra.js
Shree Shiv Mandir (Khadki) | Khadki |  | maharashtra.js
Chaitanyashwar Shiv Mandir (Samata Colony) | Akola |  | maharashtra.js
Siddheshwar Mahadev Mandir (Old Market / Neverna) | Unnao | Unnao | uttarPradesh.js
Bilveshwar Mahadev Mandir (Bhadnag / Bharti Garhi) | Bhadnag | Unnao | uttarPradesh.js
Gokul Baba Temple (Magarwara) | Magarwara | Unnao | uttarPradesh.js
Shri Shri Jungleshwar Harihar Shakti Peeth Dham (Shivpur Grant) | Shivpur Grant | Unnao | uttarPradesh.js
Balkhandeshwar Mandir (Pariyar) | Pariyar | Unnao | uttarPradesh.js
Triambkeshwar Shiv Mandir (Kabba Khera) | Kabba Khera | Unnao | uttarPradesh.js
Shri Rameshwar Mahadev Mandir (Chaudrana / Jagannath Ganj) | Chaudrana | Unnao | uttarPradesh.js
Kalyaneshwar Mahadev Mandir (Kalyani) | Kalyani | Unnao | uttarPradesh.js
Shree Narmadeshwar Mahadev Mandir (Kalyani) | Kalyani | Unnao | uttarPradesh.js
Peepleshwar Mahadev Mandir (Jajmau Bridge) | Unnao | Unnao | uttarPradesh.js
Moteswar Mahadev Temple (Safipur / Maurawan) | Safipur | Unnao | uttarPradesh.js
Girjeshwar Mahadev Temple (Chaudrana) | Chaudrana | Unnao | uttarPradesh.js
Sahastra Lingeshwar Shiv Mandir (Takiya) | Takiya | Unnao | uttarPradesh.js
Shri Shankareshwar Mahadev Mandir (Narendra Nagar) | Unnao | Unnao | uttarPradesh.js
Shri Jilleshwar Mahadev Temple (Unnao) | Unnao | Unnao | uttarPradesh.js
Sri Baba Pasupati Nath Mahadev (Jawahar Nagar) | Unnao | Unnao | uttarPradesh.js
Harihareshwar Mahadev Temple (Jurakhan Khera) | Jurakhan Khera | Unnao | uttarPradesh.js
Shri Hardeveshwar Mahadev Mandir (Bichhiya) | Bichhiya | Unnao | uttarPradesh.js
Bhole Nath Mandir Muslawa (Auras Road) | Unnao | Unnao | uttarPradesh.js
Janwarinath Dham Temple (Ghatampur, Lambhua) | Lambhua | Sultanpur | uttarPradesh.js
Mahadevan Shiv Mandir (Alampur, Ramganj) | Ramganj | Sultanpur | uttarPradesh.js
Shivalaya - Shiva Mandir (Parsipur) | Parsipur | Sultanpur | uttarPradesh.js
Satteshwar Mahadev Temple (Jagdishpur) | Jagdishpur | Sultanpur | uttarPradesh.js
Baba Maheshnath Temple (Dhammaur) | Dhammaur | Sultanpur | uttarPradesh.js
Sarveshwar Mahadev Mandir (Beruka Athaisi) | Beruka Athaisi | Sultanpur | uttarPradesh.js
Shree Bhuvaneshwarnath Mahadev Mandir (Belwai) | Belwai | Sultanpur | uttarPradesh.js
